NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
NT_15959,15959,Mulga Dam,DAM,WATERBODY,HYDROLOGY,-21.4734,137.1872,NT,2024-03-01,POINT (137.187192 -21.473414),gazetted
NT_15974,15974,Muller Flat Dam,DAM,WATERBODY,HYDROLOGY,-23.2667,134.8167,NT,2024-03-01,POINT (134.816692 -23.266714),gazetted
NT_16036,16036,Murray Creek Dam,DAM,WATERBODY,HYDROLOGY,-21.8699,133.2511,NT,2024-03-01,POINT (133.251092 -21.869914),gazetted
NT_23866,23866,Fitzy Dam,DAM,WATERBODY,HYDROLOGY,-24.4247,134.0211,NT,2024-03-01,POINT (134.021092 -24.424714),gazetted
NT_23875,23875,Joker Dam,DAM,WATERBODY,HYDROLOGY,-24.2828,134.2697,NT,2024-03-01,POINT (134.269692 -24.282814),gazetted
NT_23878,23878,Dingo Dam,DAM,WATERBODY,HYDROLOGY,-24.2767,134.3242,NT,2024-03-01,POINT (134.324192 -24.276714),gazetted
NT_23880,23880,Todd Dam,DAM,WATERBODY,HYDROLOGY,-24.2292,134.3472,NT,2024-03-01,POINT (134.347192 -24.229214),gazetted
NT_21517,21517,No 2 Dam,DAM,WATERBODY,HYDROLOGY,-17.4855,131.1855,NT,2024-03-01,POINT (131.185491 -17.485514),gazetted
NT_21553,21553,Red Dam,DAM,WATERBODY,HYDROLOGY,-17.4598,131.2571,NT,2024-03-01,POINT (131.257091 -17.459814),gazetted
NT_21605,21605,Vinces Dam,DAM,WATERBODY,HYDROLOGY,-25.9453,131.7141,NT,2024-03-01,POINT (131.714091 -25.945314),gazetted
NT_21344,21344,Carlton Dam,DAM,WATERBODY,HYDROLOGY,-22.309,135.8115,NT,2024-03-01,POINT (135.811492 -22.309014),gazetted
NT_21347,21347,Neds Dam,DAM,WATERBODY,HYDROLOGY,-22.5765,135.2589,NT,2024-03-01,POINT (135.258892 -22.576514),gazetted
NT_21353,21353,Jervois Dam,DAM,WATERBODY,HYDROLOGY,-22.6453,136.2422,NT,2024-03-01,POINT (136.242192 -22.645314),gazetted
NT_21354,21354,Jervois Dam,DAM,WATERBODY,HYDROLOGY,-22.6439,136.2395,NT,2024-03-01,POINT (136.239492 -22.643914),gazetted
