NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
TAS_10736Y,10736Y,Burke Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-43.47011,146.27349,TAS,2025-12-14,POINT (146.27349 -43.47011),gazetted
TAS_8026Q,8026Q,Burles Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.69856,146.70656,TAS,2025-12-14,POINT (146.70656 -41.69856),gazetted
TAS_8027S,8027S,Burnies Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.71073,146.66534,TAS,2025-12-14,POINT (146.66534 -41.71073),gazetted
TAS_8504A,8504A,Burnies Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.13077,147.8542,TAS,2025-12-14,POINT (147.8542 -41.13077),gazetted
TAS_15000Y,15000Y,Burnleys Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.70263,146.7191,TAS,2025-12-14,POINT (146.7191 -42.70263),gazetted
TAS_1374F,1374F,Burns Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.19733,146.10837,TAS,2025-12-14,POINT (146.10837 -42.19733),gazetted
TAS_7818Y,7818Y,Burns Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.51124,147.42507,TAS,2025-12-14,POINT (147.42507 -42.51124),gazetted
TAS_14763G,14763G,Burns Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.28234,146.03185,TAS,2025-12-14,POINT (146.03185 -41.28234),gazetted
TAS_1449M,1449M,Burns Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.43958,147.47077,TAS,2025-12-14,POINT (147.47077 -41.43958),gazetted
TAS_12705T,12705T,Burnt Gully Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.67049,147.81994,TAS,2025-12-14,POINT (147.81994 -41.67049),gazetted
TAS_4177B,4177B,Burrows Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.41122,145.98344,TAS,2025-12-14,POINT (145.98344 -42.41122),gazetted
TAS_8921P,8921P,Bushers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.57913,147.33308,TAS,2025-12-14,POINT (147.33308 -42.57913),gazetted
TAS_13646B,13646B,Bushrangers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.23455,147.01428,TAS,2025-12-14,POINT (147.01428 -42.23455),gazetted
TAS_11973Y,11973Y,Bust-Me-Gall Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.63064,147.60963,TAS,2025-12-14,POINT (147.60963 -42.63064),gazetted
TAS_22206M,22206M,Butchers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.60555,146.87041,TAS,2025-12-14,POINT (146.87041 -42.60555),gazetted
TAS_4861Y,4861Y,Butchers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.32964,147.20899,TAS,2025-12-14,POINT (147.20899 -41.32964),gazetted
TAS_12706X,12706X,Butler Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.85824,147.75714,TAS,2025-12-14,POINT (147.75714 -41.85824),gazetted
TAS_8196J,8196J,Butler Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.38215,145.35681,TAS,2025-12-14,POINT (145.35681 -42.38215),gazetted
TAS_10889N,10889N,Butler Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-42.5351,145.68737,TAS,2025-12-14,POINT (145.68737 -42.5351),gazetted
TAS_3329G,3329G,Buttons Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.24265,146.176,TAS,2025-12-14,POINT (146.176 -41.24265),gazetted
TAS_2741Q,2741Q,Buttons Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-41.33417,146.03685,TAS,2025-12-14,POINT (146.03685 -41.33417),gazetted
